ProductID	CoboughtProductID
1	2
1	8
1	16
1	23
1	29
1	30
1	31
1	40
1	43
1	44
1	53
1	62
2	1
2	7
2	16
2	20
2	26
2	31
2	33
2	36
2	47
2	51
2	55
2	61
2	68
2	70
2	72
2	74
2	76
3	26
3	38
3	68
3	76
4	36
6	13
6	14
6	28
6	31
6	72
7	2
7	13
7	31
7	53
7	59
7	68
7	69
7	70
7	76
8	1
8	19
8	24
8	29
8	30
8	36
8	40
8	42
9	16
9	27
9	33
9	60
10	31
10	33
10	40
10	76
11	21
11	39
11	52
11	54
11	69
11	71
12	16
12	31
12	32
12	33
12	35
12	36
12	60
12	62
13	6
13	7
13	14
13	24
13	31
13	39
13	43
13	53
13	59
13	60
13	69
13	71
13	72
13	76
14	6
14	13
14	19
14	21
14	24
14	31
14	35
14	41
14	51
14	53
14	58
14	65
14	72
15	25
15	26
15	39
16	1
16	2
16	9
16	12
16	23
16	27
16	31
16	33
16	36
16	60
16	62
16	77
18	42
18	44
18	59
18	72
19	8
19	14
19	21
19	22
19	24
19	31
19	34
19	35
19	42
19	49
19	52
19	57
19	60
19	71
19	75
20	2
20	26
20	51
20	69
20	72
20	76
21	11
21	14
21	19
21	24
21	32
21	35
21	39
21	40
21	47
21	49
21	51
21	54
21	60
21	61
21	69
21	75
21	77
22	19
23	1
23	16
23	26
23	35
23	36
23	37
23	42
23	46
23	58
23	62
23	64
23	67
23	71
23	72
23	73
23	75
23	77
24	8
24	13
24	14
24	19
24	21
24	29
24	30
24	31
24	35
24	36
24	52
24	54
24	59
24	64
25	15
25	39
25	70
26	2
26	3
26	15
26	20
26	23
26	36
26	37
26	38
26	40
26	51
26	53
26	62
26	68
26	72
27	9
27	16
27	33
27	44
27	60
27	67
28	6
28	39
28	43
28	46
28	53
28	62
28	75
29	1
29	8
29	24
29	30
29	36
29	41
29	43
29	44
29	59
29	62
30	1
30	8
30	24
30	29
30	36
30	40
30	43
30	54
30	62
31	1
31	2
31	6
31	7
31	10
31	12
31	13
31	14
31	16
31	19
31	24
31	33
31	36
31	40
31	45
31	51
31	52
31	53
31	55
31	60
31	64
31	69
31	72
31	75
31	76
32	12
32	21
32	35
32	61
33	2
33	9
33	10
33	12
33	16
33	27
33	31
33	40
33	60
33	76
34	19
34	41
34	57
35	12
35	14
35	19
35	21
35	23
35	24
35	32
35	42
35	58
35	62
35	64
36	2
36	4
36	8
36	12
36	16
36	23
36	24
36	26
36	29
36	30
36	31
36	37
36	55
36	62
36	72
37	23
37	26
37	36
37	72
38	3
38	26
38	39
38	40
38	62
38	68
39	11
39	13
39	15
39	21
39	25
39	28
39	38
39	46
39	60
40	1
40	8
40	10
40	21
40	26
40	30
40	31
40	33
40	38
40	47
40	53
40	54
40	56
40	59
40	60
40	62
40	76
40	77
41	14
41	29
41	34
41	51
41	57
41	62
41	65
41	70
41	77
42	8
42	18
42	19
42	23
42	35
42	58
42	64
43	1
43	13
43	28
43	29
43	30
43	44
43	53
43	60
43	62
43	71
43	75
44	1
44	18
44	27
44	29
44	43
44	59
44	60
44	62
44	67
44	72
45	31
45	51
46	23
46	28
46	39
46	67
46	73
46	75
47	2
47	21
47	40
47	51
47	60
47	61
47	74
49	19
49	21
51	2
51	14
51	20
51	21
51	26
51	31
51	41
51	45
51	47
51	72
51	77
52	11
52	19
52	24
52	31
53	1
53	7
53	13
53	14
53	26
53	28
53	31
53	40
53	43
53	58
53	69
53	75
53	76
54	11
54	21
54	24
54	30
54	40
54	64
54	69
55	2
55	31
55	36
55	59
55	64
55	65
55	69
55	76
55	77
56	40
56	72
56	77
57	19
57	34
57	41
57	62
57	70
57	76
58	14
58	23
58	35
58	42
58	53
58	64
58	71
59	7
59	13
59	18
59	24
59	29
59	40
59	44
59	55
59	63
59	70
59	72
59	73
59	76
59	77
60	9
60	12
60	13
60	16
60	19
60	21
60	27
60	31
60	33
60	39
60	40
60	43
60	44
60	47
60	61
60	67
60	71
60	77
61	2
61	21
61	32
61	47
61	60
61	74
62	1
62	12
62	16
62	23
62	26
62	28
62	29
62	30
62	35
62	36
62	38
62	40
62	41
62	43
62	44
62	57
62	70
62	77
63	59
63	72
63	76
64	23
64	24
64	31
64	35
64	42
64	54
64	55
64	58
64	65
64	68
64	75
64	76
64	77
65	14
65	41
65	55
65	64
65	77
67	23
67	27
67	44
67	46
67	60
67	73
67	75
68	2
68	3
68	7
68	26
68	38
68	64
68	76
69	7
69	11
69	13
69	20
69	21
69	31
69	53
69	54
69	55
69	70
69	71
69	76
70	2
70	7
70	25
70	41
70	57
70	59
70	62
70	69
70	76
71	11
71	13
71	19
71	23
71	43
71	58
71	60
71	69
71	72
72	2
72	6
72	13
72	14
72	18
72	20
72	23
72	26
72	31
72	36
72	37
72	44
72	51
72	56
72	59
72	63
72	71
72	76
72	77
73	23
73	46
73	59
73	67
73	75
74	2
74	47
74	61
75	19
75	21
75	23
75	28
75	31
75	43
75	46
75	53
75	64
75	67
75	73
75	76
75	77
76	2
76	3
76	7
76	10
76	13
76	20
76	31
76	33
76	40
76	53
76	55
76	57
76	59
76	63
76	64
76	68
76	69
76	70
76	72
76	75
77	16
77	21
77	23
77	40
77	41
77	51
77	55
77	56
77	59
77	60
77	62
77	64
77	65
77	72
77	75
