ProductID	CoboughtProductID
1	5
1	11
1	23
1	68
1	69
2	8
2	13
2	22
2	60
2	72
3	64
4	11
5	1
5	9
7	43
7	55
7	56
7	60
7	72
8	2
8	13
8	60
9	5
10	28
10	49
11	1
11	4
11	23
11	51
11	54
11	68
13	2
13	8
13	21
13	22
13	23
13	33
13	46
13	49
13	50
13	56
13	60
16	31
16	60
17	20
17	37
17	41
19	23
19	70
19	71
20	17
20	31
20	37
20	41
21	13
21	33
21	40
21	49
21	51
22	2
22	13
22	31
22	46
22	60
22	71
22	72
23	1
23	11
23	13
23	19
23	68
23	70
23	71
24	51
24	57
26	33
26	65
26	71
28	10
28	39
28	49
29	35
29	49
30	66
31	16
31	20
31	22
31	36
31	60
31	71
32	36
33	13
33	21
33	26
33	49
33	65
33	71
34	70
35	29
35	49
35	57
35	67
36	31
36	32
37	17
37	20
37	41
39	28
40	21
40	51
41	17
41	20
41	37
41	52
41	76
43	7
43	72
45	52
45	53
46	13
46	22
47	51
47	52
47	53
47	73
48	70
49	10
49	13
49	21
49	28
49	29
49	33
49	35
50	13
50	56
51	11
51	21
51	24
51	40
51	47
51	52
51	53
51	54
51	73
52	41
52	45
52	47
52	51
52	53
52	59
52	70
52	73
53	45
53	47
53	51
53	52
53	61
53	73
54	11
54	51
55	7
55	57
55	60
55	70
56	7
56	13
56	50
56	59
56	76
57	24
57	35
57	55
57	70
59	52
59	56
59	70
59	76
60	2
60	7
60	8
60	13
60	16
60	22
60	31
60	55
60	71
61	53
62	72
64	3
65	26
65	33
65	71
66	30
67	35
68	1
68	11
68	23
69	1
69	71
70	19
70	23
70	34
70	48
70	52
70	55
70	57
70	59
70	71
70	72
71	19
71	22
71	23
71	26
71	31
71	33
71	60
71	65
71	69
71	70
72	2
72	7
72	22
72	43
72	62
72	70
73	47
73	51
73	52
73	53
76	41
76	56
76	59
